Round,Accuracy
1,0.1327
2,0.1527
3,0.1643
4,0.1885
5,0.242
6,0.3255
7,0.415
8,0.4684
9,0.4912
10,0.5062
11,0.5264
12,0.5425
13,0.5686
14,0.5923
15,0.6185
16,0.6447
17,0.6728
18,0.7018
19,0.7269
20,0.7489
21,0.7607
22,0.7797
23,0.7914
24,0.8002
25,0.8077
26,0.8103
27,0.8198
28,0.8247
29,0.8289
30,0.8323
31,0.8363
32,0.8402
33,0.8404
34,0.8473
35,0.8486
36,0.8527
37,0.8541
38,0.8558
39,0.8603
40,0.8621
41,0.8655
42,0.8672
43,0.8668
44,0.8694
45,0.8716
46,0.8726
47,0.8739
48,0.8756
49,0.8754
50,0.8776
